partido_id,set_num,set_num_norm,strength_h,strength_a,strength_diff,set_wr_h,set_wr_a,diff_set_wr,forma_h,forma_a,diff_forma,pts_fav_h,pts_fav_a,h2h_diff,sets_h_antes,sets_a_antes,diff_sets_antes,momentum_h,es_desempate,ganador_set_local
2025/2026_Cantù_Macer_13Round,2,0.25,0.5738,0.4889,0.08489999999999998,0.5175,0.5165,0.0010000000000000009,0.6,0.4,0.19999999999999996,5.0021,3.6256,0.0,0,2,-2,0.0,0,0
2025/2026_Cantù_Macer_13Round,2,0.25,0.5738,0.4889,0.08489999999999998,0.5175,0.5165,0.0010000000000000009,0.6,0.4,0.19999999999999996,5.0021,3.6256,0.0,0,3,-3,0.0,0,1
2025/2026_Cantù_Macer_13Round,3,0.5,0.5738,0.4889,0.08489999999999998,0.5175,0.5165,0.0010000000000000009,0.6,0.4,0.19999999999999996,5.0021,3.6256,0.0,1,3,-2,1.0,0,0
2025/2026_Cantù_Macer_13Round,3,0.5,0.5738,0.4889,0.08489999999999998,0.5175,0.5165,0.0010000000000000009,0.6,0.4,0.19999999999999996,5.0021,3.6256,0.0,1,4,-3,0.0,0,1
2025/2026_Cantù_Macer_13Round,4,0.75,0.5738,0.4889,0.08489999999999998,0.5175,0.5165,0.0010000000000000009,0.6,0.4,0.19999999999999996,5.0021,3.6256,0.0,2,4,-2,1.0,0,0
2025/2026_Cantù_Macer_13Round,5,1.0,0.5738,0.4889,0.08489999999999998,0.5175,0.5165,0.0010000000000000009,0.6,0.4,0.19999999999999996,5.0021,3.6256,0.0,2,5,-3,0.0,1,1
2025/2026_Cantù_Pinet_10Round,1,0.0,0.5517,0.3953,0.15639999999999998,0.5081,0.435,0.0731,0.5333,0.3333,0.2,4.5816,2.8689,0.0,0,0,0,0.5,0,0
2025/2026_Cantù_Pinet_10Round,1,0.0,0.5517,0.3953,0.15639999999999998,0.5081,0.435,0.0731,0.5333,0.3333,0.2,4.5816,2.8689,0.0,0,1,-1,0.0,0,1
2025/2026_Cantù_Pinet_10Round,2,0.25,0.5517,0.3953,0.15639999999999998,0.5081,0.435,0.0731,0.5333,0.3333,0.2,4.5816,2.8689,0.0,1,1,0,1.0,0,1
2025/2026_Cantù_Pinet_10Round,2,0.25,0.5517,0.3953,0.15639999999999998,0.5081,0.435,0.0731,0.5333,0.3333,0.2,4.5816,2.8689,0.0,2,1,1,1.0,0,1
